Order,Family,Species,"FishBase name",Occurrence,"Name(s) in Territory",Pictures
Anabantiformes,Osphronemidae,"Betta coccina",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Becoc_u0.jpg"", ""Open image"")"
Anabantiformes,Osphronemidae,"Betta gladiator",,endemic,,"No picture yet."
Anabantiformes,Osphronemidae,"Betta hipposideros",,native,,"No picture yet."
Anabantiformes,Osphronemidae,"Betta ibanorum",,endemic,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Beiba_u1.jpg"", ""Open image"")"
Anabantiformes,Osphronemidae,"Betta imbellis","Crescent betta",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Beimb_u1.jpg"", ""Open image"")"
Anabantiformes,Osphronemidae,"Betta kuehnei",,native,,"No picture yet."
Anabantiformes,Osphronemidae,"Betta lehi",,native,,"No picture yet."
Anabantiformes,Osphronemidae,"Betta livida",,endemic,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Beliv_m2.jpg"", ""Open image"")"
Anabantiformes,Osphronemidae,"Betta macrostoma","Spotfin betta",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Bemac_f0.jpg"", ""Open image"")"
Anabantiformes,Osphronemidae,"Betta nuluhon",,native,,"No picture yet."
Anabantiformes,Osphronemidae,"Betta ocellata",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Beoce_u0.jpg"", ""Open image"")"
Anabantiformes,Osphronemidae,"Betta omega",,native,,"No picture yet."
Anabantiformes,Osphronemidae,"Betta persephone",,endemic,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Beper_u1.jpg"", ""Open image"")"
Anabantiformes,Osphronemidae,"Betta pi",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Bepi_u0.jpg"", ""Open image"")"
Anabantiformes,Osphronemidae,"Betta pugnax","Penang betta",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Bepug_u1.jpg"", ""Open image"")"
Anabantiformes,Osphronemidae,"Betta pulchra",,endemic,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Bepul_u0.jpg"", ""Open image"")"
Anabantiformes,Osphronemidae,"Betta splendens","Siamese fighting fish",introduced,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Bespl_u7.jpg"", ""Open image"")"
Anabantiformes,Osphronemidae,"Betta stigmosa",,endemic,,"No picture yet."
Anabantiformes,Osphronemidae,"Betta taeniata","Borneo betta",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Betae_u0.jpg"", ""Open image"")"
Anabantiformes,Osphronemidae,"Betta tomi",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Betom_u0.jpg"", ""Open image"")"
Anabantiformes,Osphronemidae,"Betta tussyae",,endemic,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Betus_m0.jpg"", ""Open image"")"
Anabantiformes,Osphronemidae,"Betta waseri",,endemic,,"No picture yet."
Synbranchiformes,Chaudhuriidae,"Bihunichthys monopteroides",,native,,"No picture yet."
Blenniiformes,Blenniidae,"Blenniella bilitonensis","Biliton blenniella",native,"Malay : Bleni ekor bintik","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Blbil_u3.jpg"", ""Open image"")"
Eupercaria/misc,Labridae,"Bodianus bilunulatus","Tarry hogfish",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Bobil_u9.jpg"", ""Open image"")"
Eupercaria/misc,Labridae,"Bodianus dictynna","Redfin hogfish",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Bodic_u0.jpg"", ""Open image"")"
Eupercaria/misc,Labridae,"Bodianus loxozonus","Blackfin hogfish",native,"Malay : Nuri sirip hitam","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Bolox_u2.jpg"", ""Open image"")"
Eupercaria/misc,Labridae,"Bodianus mesothorax","Splitlevel hogfish",native,"Malay : Nuri hitam kuning","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Bomes_u5.jpg"", ""Open image"")"
Eupercaria/misc,Sciaenidae,"Boesemania microlepis","Boeseman croaker",native,"Malay : Gelama bota","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Bomic_u1.jpg"", ""Open image"")"
Eupercaria/misc,Labridae,"Bolbometopon muricatum","Green humphead parrotfish",native,"Malay : Bayan bonggol","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Bomur_u1.jpg"", ""Open image"")"
Gobiiformes,Oxudercidae,"Boleophthalmus boddarti","Boddart's goggle-eyed goby",native,"Malay : Belodok tembakul","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Bobod_u1.jpg"", ""Open image"")"
Cypriniformes,Danionidae,"Boraras maculatus","Dwarf rasbora",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Bomac_uh.jpg"", ""Open image"")"
Cypriniformes,Danionidae,"Boraras urophthalmoides","Least rasbora",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Bouro_u4.jpg"", ""Open image"")"
Gobiiformes,Butidae,"Bostrychus scalaris","Ladder gudgeon",native,"English : Ladder gudgeon","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Bosca_m1.jpg"", ""Open image"")"
Pleuronectiformes,Soleidae,"Brachirus macrolepis",,native,"English : Sole","No picture yet."
Pleuronectiformes,Soleidae,"Brachirus orientalis","Oriental sole",native,"Malay : Lidah-bronok timur","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Euori_u3.jpg"", ""Open image"")"
Pleuronectiformes,Soleidae,"Brachirus panoides",,native,"English : Sole","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Brpan_u2.jpg"", ""Open image"")"
Gobiiformes,Gobiidae,"Brachygobius aggregatus","Schooling bumblebee goby",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Bragg_u0.gif"", ""Open image"")"
Gobiiformes,Gobiidae,"Brachygobius doriae","Bumblebee goby",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Brdor_u2.jpg"", ""Open image"")"
Gobiiformes,Gobiidae,"Brachygobius kabiliensis","Kabili bumblebee goby",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Brkab_u0.gif"", ""Open image"")"
Gobiiformes,Gobiidae,"Brachygobius nunus",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Brnun_u0.jpg"", ""Open image"")"
Gobiiformes,Gobiidae,"Brachygobius xanthomelas",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Brxan_u1.jpg"", ""Open image"")"
Pleuronectiformes,Citharidae,"Brachypleura novaezeelandiae","Yellow-dabbled flounder",native,"Malay : Sebelah filament","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Brnov_u1.jpg"", ""Open image"")"
Perciformes/Scorpaenoidei,Scorpaenidae,"Brachypterois serrulata","Sawcheek scorpionfish",native,"Malay : Depu-singa kerdil","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Brser_u2.jpg"", ""Open image"")"
